날짜,매출금액,매출건수
20250312,3920,2
20250312,4989,2
20250312,101123,2
20250312,22274,4
20250312,346048,23
20250312,52103,5
20250312,16037,2
20250312,16928,2
20250312,137206,9
20250312,104241,9
20250312,104553,11
20250312,114255,7
20250312,37420,2
20250312,18282,2
20250312,64772,4
20250312,106914,2
20250312,54116,2
20250312,222575,5
20250312,17142,2
20250312,77646,2
20250312,48111,2
20250312,24195,2
20250312,13222,2
20250312,20492,2
20250312,21383,2
20250312,24056,2
20250312,50232,4
20250312,53457,2
20250312,138236,5
20250312,239173,7
20250312,62366,2
20250312,17819,2
20250312,441262,4
20250313,12897,2
20250313,296983,4
20250313,13238,2
20250313,13576,2
20250313,418831,2
20250313,370634,2
20250313,14594,2
20250313,109629,2
20250313,4455,2
20250313,4098,2
20250313,8909,2
20250313,8197,2
20250313,5702,2
20250313,3564,2
20250313,7306,2
20250313,123129,9
20250313,173578,11
20250313,102637,5
20250313,15681,2
20250313,30827,2
20250313,166055,11
20250313,591768,9
20250313,78097,4
20250313,21516,2
20250313,32716,2
20250313,4579,2
20250313,81146,4
20250313,79294,5
20250313,143692,4
20250313,18532,2
20250313,40093,2
20250313,24947,2
20250313,12473,2
20250313,20492,2
20250313,40984,2
20250313,159480,7
20250313,20492,2
20250313,38649,2
20250313,25258,2
20250313,224189,5
20250313,192445,7
20250313,138988,2
20250313,48111,2
20250313,581746,4
20250313,195545,2
20250313,211689,2
20250313,21026,2
20250313,498931,2
20250313,17819,2
20250313,17819,2
20250314,13576,2
20250314,67543,4
20250314,13917,2
20250314,1002953,2
20250314,11048,4
20250314,4455,2
20250314,8165,2
20250314,3564,2
20250314,5167,2
20250314,7840,2
20250314,6194,2
20250314,17641,2
20250314,10870,4
20250314,7484,2
20250314,9672,2
20250314,3920,2
20250314,4989,2
20250314,4989,2
20250314,13845,2
20250314,4455,2
20250314,8553,2
20250314,736491,4
20250314,30025,2
20250314,66714,4
20250314,40984,4
20250314,205029,14
20250314,41875,4
20250314,65934,7
20250314,208756,12
20250314,24947,4
20250314,92944,5
20250314,99786,4
20250314,16073,2
20250314,31718,2
20250314,76622,5
20250314,57128,4
20250314,2494654,2
20250314,8731,2
20250314,24412,4
20250314,6805,4
20250314,12651,4
20250314,86119,5
20250314,47220,2
20250314,8909,2
20250314,90478,2
20250314,133642,2
20250314,16839,2
20250314,58250,4
20250314,275873,7
20250314,96222,2
20250314,101568,2
20250314,338560,2
20250314,35638,2
20250314,338560,2
20250314,12473,2
20250314,936429,2
20250314,35638,4
20250315,322099,4
20250315,13576,2
20250315,7243,2
20250315,3920,2
20250315,6949,2
20250315,18710,2
20250315,5167,2
20250315,10335,2
20250315,8182,4
20250315,8553,2
20250315,22630,4
20250315,17463,2
20250315,27053,2
20250315,14612,2
20250315,4277,2
20250315,142552,2
20250315,57823,2
20250315,69275,4
20250315,82163,2
20250315,40984,2
20250315,81479,2
20250315,35638,2
20250315,118496,2
20250315,85531,2
20250315,51675,2
20250315,182660,4
20250315,71276,2
20250315,85531,2
20250315,85531,2
20250315,48111,2
20250315,12473,2
20250315,48111,2
20250315,85531,2
20250315,1247327,2
20250315,106914,2
20250315,18329,4
20250315,3741981,2
20250315,3440212,2
20250315,406272,4
20250315,14611547,2
20250316,3564,2
20250316,4455,2
20250316,5027,2
20250316,6415,2
20250316,9622,2
20250316,4989,2
20250316,4455,2
20250316,3386,2
20250316,18710,2
20250316,4277,2
20250316,4455,2
20250316,3920,2
20250316,6237,4
20250316,6237,4
20250316,73058,4
20250316,35638,2
20250316,114220,4
20250316,155492,5
20250316,60584,4
20250316,85531,4
20250316,126556,4
20250316,28510,2
20250316,96222,2
20250316,45239,2
20250316,73058,2
20250316,97799,4
20250316,171062,2
20250316,85531,2
20250317,65845,4
20250317,1328785,4
20250317,12897,2
20250317,1588772,4
20250317,149679,2
20250317,3564,2
20250317,5702,2
20250317,4455,2
20250317,3564,2
20250317,5702,2
20250317,7662,2
20250317,7840,2
20250317,8197,2
20250317,3564,2
20250317,16215,4
20250317,5346,2
20250317,3742,2
20250317,3386,2
20250317,3386,2
20250317,4455,2
20250317,5426,2
20250317,3496,2
20250317,59694,2
